ticker,score,verdict,entry_quality,edge_position,breakout_risk,structure_score,regime_score,liquidity_score,support,resistance,range_width_pct,position_in_range,support_touches,resistance_touches,containment_ratio,rotation_count,tightness,trend_leakage,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,data_start,data_end,risk_note,reason,skip_reason
VRTX,66.88,WATCHLIST,33.0,LOWER_HALF,LOW,64.9,51.3,97.0,419.85,449.6,7.09,0.335,17,28,0.45,2,0.5493,0.3357,28.88,2.32,-3.49,1103954.0,477325121.0,429.82,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,Only 2 rotations (weak); width 7.1% (good); strong reactions,
SBUX,40.0,BROKEN_UP,0.0,BROKEN_UP,LOW,74.9,56.8,100.0,94.25,101.47,7.66,1.479,21,14,0.4333,5,0.4387,0.2517,24.08,2.45,7.52,7411914.0,756027016.0,104.93,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,5 rotations (strong); width 7.7% (good); strong reactions; BROKEN above resistance; entry not ideal (0),
ADP,20.0,MESSY_RANGE,,,N/A,,,,,,,,,,,,,,24.48,2.74,1.76,3047046.0,622693689.0,212.995,2025-11-14,2026-05-08,,,No clear range structure detected
GILD,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,MODERATE,67.1,59.2,100.0,136.87,142.23,3.92,-1.034,22,20,0.2083,4,0.567,0.5,19.1,2.44,-4.56,6075398.0,811199678.0,131.33,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,4 rotations (adequate); width 3.9% (good); strong reactions; BROKEN below support; breakout risk moderate; entry not ideal (0),
MDLZ,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,82.8,81.3,95.1,56.43,59.17,4.86,1.869,30,25,0.45,9,0.5328,0.2667,20.8,2.04,3.01,7856676.0,463415503.0,61.55,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,9 rotations (strong); width 4.9% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
LRCX,30.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,56.2,49.4,100.0,196.34,274.67,39.9,1.247,7,12,0.6833,3,0.4844,0.4949,19.53,4.43,13.39,9635453.0,2578691898.0,294.05,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,3 rotations (adequate); width 39.9% (too wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
REGN,0.0,ILLIQUID,,,N/A,,,,,,,,,,,,,,,,,749335.0,545572884.0,714.89,2025-11-14,2026-05-08,,,"Liquidity below threshold (vol=749335, dv=545572884)"
PANW,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,70.2,59.0,100.0,177.29,188.64,6.4,2.695,21,31,0.325,4,0.475,0.3333,18.15,3.8,11.47,6714261.0,1202912546.0,207.88,2025-11-14,2026-05-08,,4 rotations (adequate); width 6.4% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
MU,30.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,63.1,24.6,100.0,360.79,463.42,28.45,3.761,14,11,0.5,5,0.5124,0.3,38.1,5.26,38.19,42745141.0,23144192216.0,746.81,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,5 rotations (strong); width 28.4% (too wide); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
ADI,20.0,MESSY_RANGE,,,N/A,,,,,,,,,,,,,,37.29,2.68,17.48,3288917.0,1277638482.0,416.52,2025-11-14,2026-05-08,,,No clear range structure detected
